country;country_code;year_week;age_group;new_cases;population;rate_14_day_per_100k;source
Austria;AT;2023-01;15-24yr;1341;941982;311.1524424034;TESSy COVID-19
Austria;AT;2023-02;15-24yr;1220;941982;271.8735602167;TESSy COVID-19
Austria;AT;2023-03;15-24yr;1222;941982;259.2406224323;TESSy COVID-19
Austria;AT;2023-04;15-24yr;1869;941982;328.1379049706;TESSy COVID-19
Austria;AT;2023-05;15-24yr;2746;941982;489.9244359234;TESSy COVID-19
Austria;AT;2023-06;15-24yr;3271;941982;638.7595516687;TESSy COVID-19
Austria;AT;2023-07;15-24yr;3750;941982;745.3433292781;TESSy COVID-19
Austria;AT;2023-08;15-24yr;4096;941982;832.9246206403;TESSy COVID-19
Austria;AT;2023-09;15-24yr;3918;941982;850.7593563359;TESSy COVID-19
Austria;AT;2020-01;25-49yr;0;3002329;NA;TESSy COVID-19
Austria;AT;2020-02;25-49yr;0;3002329;NA;TESSy COVID-19
Austria;AT;2020-03;25-49yr;0;3002329;NA;TESSy COVID-19
Austria;AT;2020-04;25-49yr;0;3002329;NA;TESSy COVID-19
Austria;AT;2020-05;25-49yr;0;3002329;NA;TESSy COVID-19
Austria;AT;2020-06;25-49yr;0;3002329;NA;TESSy COVID-19
Austria;AT;2020-07;25-49yr;0;3002329;NA;TESSy COVID-19
Austria;AT;2020-08;25-49yr;0;3002329;NA;TESSy COVID-19
Austria;AT;2020-09;25-49yr;5;3002329;NA;TESSy COVID-19
